Start Date,RELIANCE IS Equity,ITC IS Equity,MM IS Equity,SBIN IS Equity,HNDL IS Equity,TATA IS Equity,SUNP IS Equity,TTAN IS Equity,HDFCB IS Equity,BPCL IS Equity,CIPLA IS Equity,APNT IS Equity,ONGC IS Equity,JSTL IS Equity,WPRO IS Equity,DRRD IS Equity,HMCL IS Equity,HUVR IS Equity,INFO IS Equity,KMB IS Equity,LT IS Equity,MSIL IS Equity
21-10-2009,492.34,81.23,222.65,238.61,141.25,51.89,133.27,68.86,166.11,87.06,284.75,153.64,196.47,91.11,117.71,912.15,1610.45,273.65,277.08,205.21,743.62,1507.2
22-10-2009,481.74,82.62,224.16,232.48,137.95,50.88,132.29,66.39,166.6,86.98,284.25,153.07,195.31,87.14,115.8,902.65,1595,278.3,276.64,198.83,715.47,1491.1
23-10-2009,461.92,86.73,231.75,235.46,141.45,49.69,135.06,68.04,169.19,86.51,285.1,167.86,195.98,85.23,118.16,959.6,1582.8,280.65,282.5,198.78,697.96,1518.8
26-10-2009,454.7,88.23,229.91,230.55,137.3,50.64,136.38,64.79,169.29,85.97,296.1,166.74,194.45,81.44,118.68,975.6,1598.5,277.85,284.24,195.25,702.29,1517.55
27-10-2009,449.21,86.87,224.35,220.28,126.1,46.98,136.87,62.95,167.01,85.48,295.95,163.82,194.09,75.93,121.54,991.1,1587.65,280.4,280.33,190.39,692.02,1479.05
28-10-2009,458.94,86.37,222.89,221.3,123.4,45.15,137.63,62.49,161.95,82.63,300.75,162.98,188.98,74.45,125.56,999.6,1573.55,279.8,282.09,189.35,707.18,1415.4
29-10-2009,451.1,86.43,232.08,219.63,120.25,43.87,140.32,61.47,161.32,84.24,289.9,159.3,193.92,71.58,125.32,1016.2,1544.85,283.1,276.04,179.03,698.71,1379.15
30-10-2009,435.7,84.93,230.49,219.11,121.85,44.24,137.87,62.8,162.07,85.24,287.1,164.23,188.63,75.55,121.59,1011.4,1565.75,283.5,275.77,178.29,696.89,1403.3
02-11-2009,435.7,84.93,230.49,219.11,121.85,44.24,137.87,62.8,162.07,85.24,287.1,164.23,188.63,75.55,121.59,1011.4,1565.75,283.5,275.77,178.29,696.89,1403.3
03-11-2009,410.3,82.85,223.58,210.3,109,41.77,138.97,63.48,160.05,84.08,288.15,166.06,186.43,67.62,116.67,1034.5,1511.35,273.1,267.88,170.26,678.22,1427.8
04-11-2009,433.34,84.87,232.38,217.13,119.15,44,137.48,64.43,162.4,84.11,292.3,168.51,188.9,72.11,119.93,1064.5,1521.2,277.95,279.64,174.91,687.4,1462.3
